date,FIDELITY HONG KONG EQUITY FUND (Class O),FIDELITY ASIA PACIFIC EQUITY FUND (Class O),FIDELITY GLOBAL EQUITY FUND (Class O),FIDELITY GROWTH FUND (Class O),FIDELITY BALANCED FUND (Class O),FIDELITY STABLE GROWTH FUND (Class O),FIDELITY CAPITAL STABLE FUND (Class O),FIDELITY HONG KONG BOND FUND (Class O),FIDELITY WORLD BOND FUND (Class O),FIDELITY US DOLLAR MONEY FUND (Class O),FIDELITY HK DOLLAR MONEY FUND (Class O),FAP FUND - TRACKER FUND PORTFOLIO (Class O),FAP FUND - INVESCO ASIAN EQUITY FUND (Class O),BLACKROCK GLOBAL ALLOCATION FUND (CLASS D2),BLACKROCK FIXED INCOME GLOBAL OPPORTUNITIES FUND (CLASS D2),BLACKROCK GLOBAL LONG-HORIZON EQUITY FUND (CLASS D2),BLACKROCK US FLEXIBLE EQUITY FUND (CLASS D2),BLACKROCK EUROPEAN FUND (CLASS D2),BLACKROCK ASIAN DRAGON FUND (CLASS D2),ALLIANCEBERNSTEIN- CHINA OPPORTUNITY PORTFOLIO (CLASS S1)
1/4/2019,274.42,29.16,30.27,52.51,47.76,47.43,35.82,73.13,16.46,16.85,68.29,24.31,24.37,61.14,14.63,62.05,39.02,138.02,47.48,75.6
2/4/2019,275.11,29.24,30.29,52.58,47.8,47.46,35.83,73.07,16.46,16.85,68.29,24.34,24.58,61.21,14.63,61.99,39.36,138.98,47.82,75.64
3/4/2019,278.24,29.49,30.47,53.04,48.12,47.67,35.91,73.01,16.43,16.85,68.29,24.58,24.77,61.36,14.64,62.41,39.52,140.26,48.25,76.41
4/4/2019,278.23,29.42,30.45,52.99,48.09,47.65,35.9,73.12,16.44,16.85,68.29,24.62,24.77,61.32,14.64,62.27,39.55,140.17,48.06,76.66
8/4/2019,279.95,29.45,30.56,53.17,48.23,47.76,35.96,73.06,16.45,16.87,68.29,24.7,24.91,61.43,14.66,62.15,39.83,140.35,48.25,77.34
9/4/2019,280.47,29.56,30.47,53.19,48.26,47.8,36.01,73,16.48,16.87,68.29,24.78,25.02,61.42,14.66,62.45,39.75,139.78,48.45,77.55
10/4/2019,280.46,29.6,30.58,53.29,48.35,47.88,36.06,73,16.51,16.87,68.29,24.74,25.05,61.44,14.68,62.32,39.8,139.83,48.37,77.5
11/4/2019,276.97,29.39,30.56,53,48.13,47.71,35.97,73.11,16.49,16.87,68.29,24.49,24.88,61.43,14.68,62.14,39.95,140.4,48.03,76.11
12/4/2019,277.49,29.49,30.74,53.15,48.21,47.75,35.97,73,16.46,16.87,68.29,24.53,24.83,61.44,14.69,62.26,40.14,141.23,48.23,76.88
15/04/2019,276.25,29.48,30.76,53.2,48.24,47.77,35.97,72.88,16.45,16.87,68.29,24.45,24.91,61.37,14.69,62.09,40.04,141.18,48.25,76.15
16/04/2019,279.21,29.66,30.8,53.44,48.4,47.86,36,72.88,16.42,16.87,68.29,24.74,24.88,61.45,14.69,62.39,40.06,141.92,48.49,76.79
17/04/2019,279.55,29.71,30.79,53.46,48.41,47.86,35.99,72.82,16.42,16.87,68.29,24.73,25.02,61.44,14.69,62.02,39.98,141.54,48.58,77.04
18/04/2019,278.15,29.58,30.77,53.26,48.27,47.76,35.94,72.93,16.41,16.87,68.29,24.57,24.91,61.36,14.69,62.15,39.87,141.67,48.41,76.35
23/04/2019,277.43,29.48,31.01,53.36,48.32,47.77,35.92,72.87,16.37,16.88,68.35,24.57,24.77,61.53,14.69,62.47,40.05,141.8,48.29,76
24/04/2019,276.55,29.46,30.97,53.3,48.3,47.79,35.96,72.92,16.42,16.88,68.35,24.45,24.75,61.61,14.69,62.66,40.32,142.26,48.14,75.99
25/04/2019,273.59,29.26,30.92,53.03,48.08,47.6,35.85,72.98,16.37,16.88,68.35,24.28,24.5,61.52,14.69,62.57,40.15,141.06,47.74,74.85
26/04/2019,274.28,29.3,30.98,53.12,48.17,47.7,35.92,72.98,16.42,16.88,68.35,24.28,24.42,61.65,14.69,62.75,40.08,141.6,47.67,74.88
29/04/2019,276.53,29.46,31.04,53.32,48.3,47.78,35.94,73.03,16.4,16.88,68.35,24.57,24.61,61.78,14.71,63,40.29,141.98,47.96,75.1
30/04/2019,274.78,29.37,31.13,53.3,48.31,47.82,36,73.03,16.45,16.88,68.35,24.36,24.53,61.84,14.71,62.91,40.19,142.55,47.89,75.06
2/5/2019,276.86,29.49,30.81,53.2,48.22,47.72,35.92,72.85,16.41,16.88,68.35,24.57,24.58,61.7,14.71,62.48,39.99,141.77,48.15,75.35
3/5/2019,278.24,29.58,31.08,53.52,48.46,47.91,36.03,72.91,16.43,16.9,68.35,24.69,24.55,61.82,14.7,62.82,39.92,141.85,48.27,75.76
6/5/2019,268.84,28.94,30.89,52.72,47.9,47.53,35.87,73.07,16.46,16.9,68.35,24,24.09,61.65,14.7,62.15,39.61,140.41,47.03,72.62
7/5/2019,270.22,28.99,30.53,52.46,47.73,47.43,35.84,73.13,16.48,16.9,68.35,24.08,24.17,61.47,14.7,62.1,39.49,139.69,47,72.75
8/5/2019,266.91,28.74,30.44,52.1,47.48,47.24,35.75,73.13,16.48,16.9,68.35,23.79,23.84,61.32,14.7,61.85,39.23,139.15,46.39,71.86
9/5/2019,260.65,28.27,30.26,51.44,47.02,46.93,35.62,73.13,16.51,16.9,68.35,23.27,23.84,,,,,,,
10/5/2019,263.6,28.41,30.39,51.74,47.23,47.08,35.69,73.12,16.51,16.9,68.35,23.43,23.46,61.03,14.68,61.46,38.91,138.86,45.59,71.88
14/05/2019,258.54,27.91,30,51.04,46.74,46.74,35.54,73.23,16.52,16.9,68.35,23.1,23.02,60.62,14.67,60.62,38.27,137.24,44.33,70.43
15/05/2019,260.62,28,30.25,51.41,47.02,46.96,35.65,73.23,16.54,16.9,68.35,23.18,23.11,60.66,14.68,60.83,38.23,137.15,44.52,71.01
16/05/2019,260.96,27.94,30.55,51.61,47.15,47.02,35.66,73.4,16.5,16.9,68.35,23.22,23,61.07,14.7,61.62,39.02,139.58,44.37,70.85
17/05/2019,257.65,27.77,30.4,51.32,46.93,46.87,35.59,73.4,16.5,16.91,68.41,23.02,22.81,60.91,14.69,61.59,38.82,139.42,43.69,69.28
20/05/2019,255.03,27.89,30.21,50.99,46.68,46.68,35.5,73.34,16.49,16.91,68.41,22.9,22.72,60.82,14.69,61.21,38.64,138.41,43.58,67.79
21/05/2019,255.02,27.86,30.35,51.03,46.71,46.69,35.5,73.34,16.47,16.91,68.41,22.86,22.62,60.86,14.69,61.37,38.85,138.85,43.59,68.45
22/05/2019,255.02,27.8,30.29,51.01,46.7,46.69,35.5,73.33,16.49,16.91,68.41,22.81,22.7,60.86,14.69,61.63,38.88,139.11,43.62,68.24
23/05/2019,251.19,27.57,29.93,50.48,46.34,46.47,35.43,73.45,16.53,16.91,68.41,22.57,22.42,60.5,14.69,60.79,38.29,136.79,43,67.01
24/05/2019,251.88,27.68,30.08,50.69,46.52,46.64,35.54,73.5,16.58,16.91,68.41,22.65,22.37,60.75,14.71,61.46,38.48,138.57,43.15,66.8
27/05/2019,251.86,27.71,30.09,50.7,46.52,46.62,35.52,73.5,16.57,16.91,68.41,22.57,22.42,60.72,14.71,61.39,38.45,138.48,43.35,
28/05/2019,253.25,27.75,29.96,50.72,46.55,46.67,35.56,73.67,16.59,16.91,68.41,22.65,22.42,60.82,14.71,61.5,38.55,138.77,43.52,67.99
29/05/2019,252.2,27.52,29.7,50.36,46.3,46.48,35.48,73.78,16.59,16.91,68.41,22.57,22.18,60.31,14.72,60.44,37.8,135.61,43.12,67.59
30/05/2019,251.85,27.59,29.78,50.4,46.32,46.5,35.49,73.66,16.59,16.91,68.41,22.49,22.18,,,,,,,
31/05/2019,250.63,27.68,29.51,50.17,46.19,46.46,35.52,73.83,16.67,16.91,68.41,22.32,22.26,60.15,14.73,60.12,37.5,135.09,43.44,67.71
